#Stage_Name	Stage_Family	Stage_Manufacturer	Stage_Alt_Name	Length	Length_Flag	Diameter	Diameter_Flag	Launch_Mass	Launch_Mass_Flag	Dry_Mass	Dry_Mass_Flag	Thrust	Thrust_Flag	ThrustSL	ThrustSL_Flag	Duration	Engine	NEng	Class
# Updated 2026 Sep 18 0729:50
Ariane 5 EPS	EPS                 	DORN	-	  4.9	 	 5.46	 	  12.5	 	    2700	 	      29.0	 	-	 	1100.0 	Aestus	 1	U
Ariane 5 EPS P2000	EPS                 	DORN	EPS L10	  5.2	?	 5.46	 	  13.0	?	    2850	 	      29.0	 	-	 	1100.0 	Aestus	 1	U
ESC-A	EPS                 	ASTD	-	  7.0	?	 5.43	 	  18.4	 	    2000	?	      64.0	 	-	 	 945.0 	HM-7B	 1	O
ESC-D	EPS                 	ASTD	-	  7.0	?	 5.43	 	  19.0	 	    2000	?	      64.0	 	-	 	 945.0 	HM-7B	 1	O
Vulcan	Vulcan	ULAD	Vulcan	 33.3	 	 5.40	 	 540.0	?	   50000	?	    4800.0	 	-	 	 299.0 	BE-4	 2	O
Centaur V	CentaurV            	ULAD	Centaur	 11.7	 	 5.40	 	  53.6	 	    7100	?	     218.0	 	-	 	 740.0 	RL10C-1-1A	 2	U
Centaur CV-HE	CentaurV            	ULAD	Centaur	 12.6	 	 5.40	 	  53.6	 	    7100	?	     218.0	 	-	 	1077.0 	RL10E1	 2	U
Centaur CV-L	CentaurV            	ULAD	Centaur	 10.7	 	 5.40	 	  40.0	?	    5000	?	     218.0	 	-	 	 740.0 	RL10E1	 2	U
H-IIB Stage 1	H2B                 	MHITO	H-II	 38.0	 	 5.20	 	 202.0	 	   24000	 	    2196.0	 	-	 	 352.0 	LE-7A	 2	O
H3 Stage 1 2E	H2B                 	MHITO	H-3	 37.0	 	 5.20	 	 114.0	 	   13000	 	    2441.0	 	-	 	 300.0 	LE-9	 2	O
H3 Stage 1 3E	H2B                 	MHITO	H-3	 37.0	 	 5.20	 	 240.0	 	   15000	 	    3663.0	 	-	 	 300.0 	LE-9	 3	O
H3 Stage 2	H2B                 	MHITO	-	 12.0	 	 5.20	 	  27.0	 	    2500	 	     137.0	 	-	 	 686.0 	LE-5B-3	 1	O
CZ-5 Stage 1	CZ5                 	CALT	CZ-H5-1	 31.7	 	 5.00	 	 186.9	 	   21600	 	    1400.0	 	-	 	 480.0 	YF-77	 2	O
CZ-5 Stage 2	CZ5                 	CALT	CZ-H5-2	 10.6	 	 5.00	 	  36.0	 	    6700	 	     176.5	 	-	 	 700.0 	YF-75D	 2	O
CZ-10A S1-3E	CZ5                 	CALT	-	 55.0	?	 5.00	 	 200.0	?	   28000	?	    3600.0	 	-	 	-	YF-100K	 3	R
CZ-10B S1	CZ5                 	CALT	-	 55.0	?	 5.00	 	 200.0	?	   28000	?	    3600.0	 	-	 	-	YF-100K	 7	R
CZ-10B S2	CZ5                 	CALT	-	 25.0	?	 5.00	 	  50.0	?	-	 	-	 	-	 	-	YF-219	 1	O
CZ-10B S2/1	CZ5                 	CALT	-	 25.0	?	 5.00	 	  50.0	?	-	 	    1491.0	 	-	 	-	YF-219 SL	 1	O
Delta CBC	Delta4              	BOHB	-	 40.8	 	 5.00	 	 226.4	 	   26760	 	    2891.0	 	-	 	 249.0 	RS-68	 1	R
Delta CBC RS-68A	Delta4              	BOHB	-	 40.8	 	 5.00	 	 226.4	 	   26760	 	    3124.0	 	-	 	 249.0 	RS-68A	 1	R
Delta D4SS-5	D4SS                	BOHB	Delta-5m	 12.0	 	 5.00	 	  30.7	 	    3490	 	     110.0	 	-	 	1125.0 	RL10B-2	 1	U
DCSS5-1	D4SS                	BOHB	Delta-5m	 12.0	 	 5.00	 	  30.7	 	    3490	 	     110.0	 	-	 	1125.0 	RL10C-2-1	 1	U
ICPS	D4SS                	BOHB	Delta-5m	 13.7	 	 5.10	 	  31.0	?	    3500	?	     110.0	 	-	 	1125.0 	RL10B-2	 1	U
Neutron St2	Neutron2	RLABU	-	 11.5	 	 5.00	 	  30.0	?	-	 	     890.0	 	-	 	-	Archimedes Vac	 1	U
DC-X	DC-X                	MDAC	-	 12.6	 	 4.95	 	  18.8	 	   10000	 	     242.0	 	-	 	 263.0 	RL10	 4	L
DC-XA	DC-X                	MDAC	Clipper Graham	 12.6	 	 4.95	 	  18.8	 	   10000	 	     242.0	 	-	 	 263.0 	RL10	 4	L
ZQ-3 Stage 1	ZQ-3	LANDSP	-	 39.0	?	 4.50	 	 385.0	?	    4000	?	    7300.0	 	-	 	-	TQ-12A	 9	O
ZQ-3 Stage 2	ZQ-3	LANDSP	-	 14.5	?	 4.50	 	 145.0	?	    1400	?	     944.4	 	-	 	-	TQ-15A	 1	O
L-3 Blok G	BlokG               	OKB1	-	  9.1	 	 4.40	 	  61.8	 	    6000	 	     445.0	 	-	 	 443.0 	NK-19	 1	U
CZ-12B Stage 1	CZ12B	ZHSH	-	 39.0	?	 4.37	 	-	 	-	 	    7515.0	 	-	 	-	YF-102R	 9	O
CZ-12B Stage 2	CZ12B	ZHSH	-	 10.0	?	 4.37	 	-	 	-	 	     835.0	 	-	 	-	YF-102V	 1	O
Centaur T	Centaur             	GDA	Centaur	  9.0	 	 4.30	 	  23.8	 	    2775	 	     146.0	 	-	 	 600.0 	RL10A-3-3A	 2	U
8S811	UR-200              	OKB52	Proton St2	 17.1	 	 4.10	 	 167.8	 	   11750	 	    2330.0	 	-	 	 215.0 	RD-0211	 4	S
8S811-I	UR-200              	OKB52	Proton St2	 17.1	 	 4.10	 	 167.5	 	   11400	 	    2330.0	 	-	 	 215.0 	RD-0211	 4	S
8S811-II	UR-200              	OKB52	Proton St2	 17.1	 	 4.10	 	 168.3	 	   11000	 	    2324.0	 	-	 	 215.0 	RD-0211	 4	S
8S811-III	UR-200              	OKB52	Proton St2	 17.1	 	 4.10	 	 168.3	 	   11000	 	    2324.0	 	-	 	 215.0 	RD-0211	 4	S
8S811-IV	UR-200              	OKB52	Proton St2	 17.1	 	 4.10	 	 168.3	 	   11000	 	    2324.0	 	-	 	 215.0 	RD-0211	 4	S
8S812	Proton.St3          	OKB52	Proton St3	  6.9	 	 4.10	 	  50.6	 	    4185	 	     583.0	 	-	 	 237.0 	RD-0210	 1	U
8S812M	Proton.St3          	OKB52	Proton St3	  4.1	 	 4.10	 	  50.3	 	    3700	 	     608.0	 	-	 	 238.0 	RD-0210	 1	U
8S812M-III	Proton.St3          	OKB52	Proton St3	  4.1	 	 4.10	 	  50.1	 	    3500	 	     614.0	 	-	 	 237.0 	RD-0210	 1	U
8S812M-IV	Proton.St3          	OKB52	Proton St3	  4.1	 	 4.10	 	  50.1	 	    3500	 	     614.0	 	-	 	 237.0 	RD-0210	 1	U
Soyuz-5 Stage 2	Soyuz5	PROG	-	  7.8	 	 4.10	 	  65.0	 	    5900	 	     588.6	 	-	 	-	RD-0124MS	 1	O
Soyuz-5 Stage 1	Soyuz5	PROG	-	 37.1	 	 4.10	 	 390.0	 	   27700	 	    7257.0	 	-	 	-	RD-171MV	 1	O
Briz-M	Briz                	KHRU	-	  2.8	 	 4.10	 	  22.1	 	    2370	 	      19.6	 	-	 	3000.0 	S5.98M	 1	U
H-II Stage 1	H2                  	MHITO	H-II	 34.4	 	 4.00	 	  98.0	 	   11700	 	    1080.0	 	-	 	 346.0 	LE-7	 1	O
H-IIA Stage 1	H2                  	MHITO	H-II	 37.2	 	 4.00	 	 114.0	 	   13000	 	    1100.0	 	-	 	 390.0 	LE-7A	 1	O
Delta III Stage 2	D3SS                	BOHB	Delta/0030	  8.8	 	 4.00	 	  19.3	 	    2475	 	     110.0	 	-	 	 700.0 	RL10B-2	 1	U
Delta D4SS-4	D3SS                	BOHB	Delta/0030	 12.0	 	 4.00	 	  24.2	 	    2850	 	     110.0	 	-	 	 850.0 	RL10B-2	 1	U
H-II Stage 2	H2.St2              	MHITO	H-II St2	 11.0	 	 4.00	 	  16.7	 	    2700	 	     122.0	 	-	 	 600.0 	LE-5A	 1	U
H-IIA Stage 2	H2.St2              	MHITO	H-II St2	  9.2	 	 4.00	 	  20.0	 	    4000	 	     137.0	 	-	 	 600.0 	LE-5B	 1	U
H-IIA Stage 2 U	H2.St2              	MHITO	H-II St2	  9.2	 	 4.00	 	  20.0	 	    4000	 	     137.0	 	-	 	 600.0 	LE-5B	 1	U
GS1-L110 a	GSLV3               	LPSCM	-	 21.3	 	 4.00	 	 125.8	 	    9800	 	    1598.0	 	-	 	 200.0 	Vikas 4B	 2	O
GS1-L110	GSLV3               	LPSCM	-	 21.3	 	 4.00	 	 125.8	 	    9800	 	    1692.0	 	-	 	 205.0 	HTVE	 2	O
GS2-C25	GSLV3.St2           	LPSCM	-	 13.5	 	 4.00	 	  32.4	 	    4400	 	     200.0	 	-	 	 667.0 	CE-20	 1	S
GS2-C25 a	GSLV3.St2           	LPSCM	-	 13.5	 	 4.00	 	  33.0	 	    4400	 	     200.0	 	-	 	 635.0 	CE-20	 1	S
Antares Stage 1	Zenit               	OSCW/YUZH	-	 27.6	 	 3.90	 	 260.7	 	   18715	 	    3260.0	 	-	 	 235.0 	AJ26-62	 2	S
Antares 2 Stage 1	Zenit               	OSCW/YUZH	-	 27.6	 	 3.90	 	 260.7	 	   18715	 	    3844.0	 	-	 	 235.0 	RD-181	 2	S
Antares 2+ Stage 1	Zenit               	OSCW/YUZH	-	 27.6	 	 3.90	 	 260.7	 	   18715	 	    3844.0	 	-	 	 235.0 	RD-181	 2	S
Energiya Blok A	Zenit               	YUZH	-	 38.3	 	 3.90	 	 360.0	 	   60000	 	    7908.0	 	-	 	 145.0 	RD-170	 1	S
11S771	Zenit               	YUZH	-	 32.9	 	 3.90	 	 352.0	 	   33900	 	    7908.0	 	-	 	 140.0 	RD-170	 1	O
11S772	Zenit.St2           	YUZH	-	 11.1	 	 3.90	 	  90.0	 	    9300	 	     912.0	 	-	 	 300.0 	RD-120	 1	U
Atlas CCB	Atlas5              	LMA	-	 32.5	 	 3.80	 	 304.0	 	   20890	 	    3800.0	 	-	 	 240.0 	RD-180	 1	O
Ariane L144	Ariane              	AELM	-	 18.4	 	 3.80	 	 160.0	 	   13750	 	    2462.0	 	-	 	 146.0 	Viking V	 4	O
Ariane L220	Ariane              	EADSL	-	 25.4	 	 3.80	 	 246.0	 	   17900	 	    3034.0	 	-	 	 205.0 	Viking VC	 4	O
Tianlong-3 Stage 1	TL3	TIANB	-	 43.0	?	 3.80	 	-	 	-	 	    7600.0	 	-	 	-	TH-12	 9	O
Tianlong-3 Stage 2	TL3	TIANB	-	 14.3	?	 3.80	 	-	 	-	 	    1350.0	 	-	 	-	TH-12V	 1	U
Longxing-2 St 1	CZ12	SAST	-	 30.0	?	 3.80	 	-	 	-	 	-	 	-	 	-	YF-100K	 4	O
CZ-12 Stage 1	CZ12	SAST	-	 39.0	?	 3.80	 	-	 	-	 	    5000.0	 	-	 	-	YF-100K	 4	O
CZ-12A Stage 1	CZ12	SAST	-	 39.0	?	 3.80	 	-	 	-	 	    5495.0	 	-	 	-	Longyun-70	 7	O
CZ-12 Stage 2	CZ12	SAST	-	 10.0	?	 3.80	 	-	 	-	 	     360.0	 	-	 	-	YF-115	 2	O
CZ-12A Stage 2	CZ12	SAST	-	 10.0	 	 3.80	 	-	 	-	 	     940.0	 	-	 	-	YF-209V	 1	-
LM AS	LMAS                	GRUM	-	  2.5	 	 3.76	 	   4.9	 	    2000	 	      15.6	 	-	 	 480.0 	RS-18	 1	O
11S824	Blok-D              	NPOE	Blok D	  5.5	 	 3.70	 	  13.4	 	    1800	 	      85.0	 	-	 	 600.0 	11D58	 1	U
11S824M	Blok-D              	NPOE	Blok D-1	  5.5	 	 3.70	 	  17.3	 	    2400	 	      85.0	 	-	 	 600.0 	11D58	 1	U
11S824F	Blok-D              	NPOE	Blok D-2	  5.5	 	 3.70	 	  17.3	 	    2400	 	      85.0	 	-	 	 600.0 	11D58	 1	U
11S86	Blok-D              	NPOE	Blok DM	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
11S861	Blok-D              	NPOE	Blok DM-2	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
11S861-01	Blok-D              	NPOE	Blok DM-2M	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
11S861-03	Blok-D              	NPOE	Blok DM-3	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
17S40	Blok-D              	NPOE	-	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
14S48	Blok-D              	NPOE	Persei	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
14S48 Orion	Blok-D              	NPOE	Orion	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
Blok DM1	Blok-D              	NPOE	-	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
Blok DM3	Blok-D              	NPOE	-	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
Blok DM4	Blok-D              	NPOE	-	  6.3	 	 3.70	 	  17.5	 	    2440	 	      83.4	 	-	 	 680.0 	11D58M	 1	U
Blok DM-SL	Blok-D              	NPOE	-	  5.6	 	 3.70	 	  17.3	 	    2720	 	      85.0	 	-	 	 650.0 	11D58M	 1	U
