#Stage_Name	Stage_Family	Stage_Manufacturer	Stage_Alt_Name	Length	Length_Flag	Diameter	Diameter_Flag	Launch_Mass	Launch_Mass_Flag	Dry_Mass	Dry_Mass_Flag	Thrust	Thrust_Flag	ThrustSL	ThrustSL_Flag	Duration	Engine	NEng	Class
# Updated 2026 Sep 18 0729:50
CZ6-C	DF5                 	SAST	-	 15.0	?	 3.35	 	  84.0	?	    4100	?	    1224.0	?	-	 	-	YF-100	 1	O
CZ6A-C	DF5                 	SAST	-	 20.0	?	 3.35	 	 120.0	?	    6000	?	    2448.0	?	-	 	-	YF-100	 2	O
CZ-7 Stage 1	DF5                 	CALT	K3-1	 26.0	?	 3.35	 	 186.0	 	   12000	 	    2400.0	 	-	 	 215.0 	YF-100	 2	O
CZ-8 Stage 1	DF5                 	CALT	K3-1	 26.0	?	 3.35	 	 186.0	 	   12000	 	    2400.0	 	-	 	 215.0 	YF-100	 2	O
CZ-5 Booster	DF5                 	CALT	K3-1	 27.6	 	 3.35	 	 156.6	 	   13800	 	    2400.0	 	-	 	 180.0 	YF-100	 2	O
DF-5 Stage 2	CZ.St2              	CALT?	LF35-YF24	  7.5	 	 3.35	 	  39.0	 	    4000	 	     742.0	 	-	 	 110.0 	YF-22	 1	S
FB-1 Stage 2	CZ.St2              	SAST	LF35-YF24	  7.5	 	 3.35	 	  39.0	 	    4000	 	     742.0	 	-	 	 110.0 	YF-22 (FB)	 1	U
L35-YF24	CZ.St2              	CALT?	L35-YF24	  9.7	 	 3.35	 	  39.0	 	    4000	 	     765.8	 	-	 	 110.0 	YF-22	 1	S
CZ-2 Stage 2	CZ.St2              	CALT	LF35-YF24	  7.5	 	 3.35	 	  39.0	 	    4000	 	     742.0	 	-	 	 109.0 	YF-22	 1	U
CZ-2C Stage 2	CZ.St2              	CALT	LF35-YF24	  7.5	 	 3.35	 	  39.0	 	    4000	 	     742.0	 	-	 	 109.0 	YF-22	 1	U
CZ-2Ca Stage 2	CZ.St2              	CALT	LF55-YF24	 11.3	 	 3.35	 	  59.0	 	    4000	 	     742.0	 	-	 	 109.0 	YF-22	 1	U
CZ-3 Stage 2	CZ.St2              	SAST	LF35-YF24	  9.7	 	 3.35	 	  39.0	 	    4000	 	     720.0	 	-	 	 180.0 	YF-22	 1	S
L35-YF24B	CZ.St2              	CALT?	L35-YF24B	 11.5	 	 3.35	 	  34.0	?	    4000	 	     788.4	 	-	 	 110.0 	YF-22B	 1	S
CZ-3A Stage 2	CZ.St2              	SAST	L35-YF24B	  9.9	 	 3.35	 	  33.6	 	    4000	 	     742.0	 	-	 	 180.0 	YF-22	 1	S
CZ-3B Stage 2	CZ.St2              	SAST	L35-YF24B	  9.9	?	 3.35	 	  44.0	 	    4000	?	     742.0	 	-	 	 180.0 	YF-22	 1	S
CZ-4 Stage 2	CZ.St2              	SAST	L35-YF24B	 10.4	 	 3.35	 	  39.6	 	    4000	 	     742.0	 	-	 	 127.0 	YF-22B	 1	S
CZ-4 Stage 2j	CZ.St2              	SAST	L35-YF24B	 10.4	 	 3.35	 	  39.6	 	    4000	 	     742.0	 	-	 	 127.0 	YF-22B	 1	S
CZ-4B Stage 2	CZ.St2              	SAST	L35-YF24B	 10.4	 	 3.35	 	  39.6	 	    4000	 	     742.0	 	-	 	 127.0 	YF-22B'	 1	S
CZ-2E Stage 2	CZ.St2              	CALT	L90-YF24B	 15.5	 	 3.35	 	  91.5	 	    5500	 	     742.0	 	-	 	 295.0 	YF-22	 1	S
CZ-6A Stage 2	CZ.St2              	SAST	-	 11.5	?	 3.35	 	  71.0	 	    6000	 	     176.0	 	-	 	-	YF-115	 1	O
CZ-7 Stage 2	CZ.St2              	CALT	K3-2	 11.5	 	 3.35	 	  71.0	 	    6000	 	     720.0	 	-	 	-	YF-115	 4	O
CZ-8A Stage 2	CZ.St2              	CALT	H18-YF75	 12.4	 	 3.35	 	  21.0	 	    2800	?	     200.0	 	-	 	 470.0 	YF-75H	 2	U
Lijian-2 Stage 1	TL2	ZKYT	-	 26.0	 	 3.35	 	 170.0	?	   17000	?	    2500.0	 	-	 	-	YF-102	 3	O
Lijian-2 Stage 2	TL2	ZKYT	-	 13.0	 	 3.35	 	  90.0	?	   10000	?	     690.0	 	-	 	-	YF-102V	 1	U
TL2 Stage 1	TL2	TIANB	-	 25.0	?	 3.35	 	 100.0	?	-	 	    1860.0	 	-	 	-	YF-102	 3	O
TL2 Stage 2	TL2	TIANB	-	  5.0	?	 3.35	 	  35.0	?	-	 	     300.0	 	-	 	-	TH-11	 3	O
KSLV-II-1	KSLV2               	KARI	-	 20.0	?	 3.30	 	 300.0	 	   10000	?	    2900.0	 	-	 	-	KRE-075	 4	O
Smart Dispenser	SD                  	CALT	-	  1.0	?	 3.35	?	   0.2	 	      20	?	      10.8	 	-	 	  36.0 	FG-47	 1	U
Fregat	Fregat              	NPOL	-	  1.5	 	 3.35	 	   6.5	 	    1100	 	      19.6	 	-	 	 877.0 	S5.92	 1	U
Fregat-SB	Fregat              	NPOL	-	  2.4	 	 3.35	 	   8.5	 	    1050	 	      19.6	 	-	 	1200.0 	S5.92	 1	U
SRMU	SRMU                	ATKP	-	 34.3	 	 3.20	 	 350.0	 	   37000	 	    7500.0	 	-	 	 137.8 	SRMU	 1	Y
GSOM-S200	GSOM                	SDSC	-	 26.2	 	 3.20	 	 236.0	 	   31000	 	    4800.0	?	-	 	 130.0 	S200	 1	-
UA1205	Titan.SRM           	UTC	SRM	 25.9	 	 3.11	 	 226.2	 	   33800	 	    6227.2	 	-	 	 115.0 	UA1205	 1	Y
UA1206	Titan.SRM           	UTC	SRM	 27.6	 	 3.11	 	 251.2	 	   40800	 	    6227.2	 	-	 	 114.0 	UA1206	 1	Y
UA1207	Titan.SRM           	UTC	SRM1207	 34.1	 	 3.11	 	 319.3	 	   51200	 	    7120.0	 	-	 	 120.0 	UA1207	 1	Y
LR87	Titan               	MARTD	-	 16.0	 	 3.05	 	  76.2	 	    4000	 	    1470.0	 	-	 	 138.0 	LR87	 2	M
LR87AJ5	Titan               	MARTB	-	 21.5	 	 3.05	 	 122.0	 	    4000	 	    2090.0	 	-	 	 147.0 	LR87AJ5	 2	O
LR87AJ9	Titan               	MARTD	-	 23.8	 	 3.05	 	 116.6	 	    5500	 	    2353.0	 	-	 	 147.0 	LR87AJ11	 2	O
LR87AJ11	Titan               	MARTD	-	 23.8	 	 3.05	 	 116.6	 	    5500	 	    2353.0	 	-	 	 147.0 	LR87AJ11	 2	O
LR87AJ11A	Titan               	MARTD	-	 26.4	 	 3.05	 	 163.0	 	    8000	 	    2452.0	 	-	 	 164.0 	LR87AJ11A	 2	O
LR91	Titan.St2           	MARTD	-	  8.0	 	 3.05	 	  28.9	 	    1725	 	     356.1	 	-	 	 225.0 	LR91	 1	S
LR91AJ5	Titan.St2           	MARTB	-	  7.3	 	 3.05	 	  28.9	 	    2400	 	     440.0	 	-	 	 182.0 	LR91AJ5	 1	U
LR91AJ9	Titan.St2           	MARTD	-	  9.6	 	 3.05	 	  29.2	 	    2650	 	     449.2	 	-	 	 205.0 	LR91AJ9	 1	U
LR91AJ11	Titan.St2           	MARTD	-	  9.6	 	 3.05	 	  29.2	 	    2650	 	     449.2	 	-	 	 205.0 	LR91AJ11	 1	U
LR91AJ11A	Titan.St2           	MARTD	-	 10.0	 	 3.05	 	  39.5	 	    4500	 	     472.2	 	-	 	 223.0 	LR91AJ11A	 1	U
Transtage	Transtage           	MARTD	-	  4.6	 	 3.05	 	  12.5	 	    2000	 	      71.1	 	-	 	 440.0 	AJ10-138	 2	U
Atlas A	Atlas               	GDA	-	 21.8	 	 3.05	 	  82.0	 	    7000	 	       0.0	 	-	 	 125.0 	-	 0	M
Atlas B	Atlas               	GDA	-	 21.9	 	 3.05	 	 108.0	 	    3850	 	     267.0	 	-	 	 253.6 	MA-1/S	 1	O
Atlas C	Atlas               	GDA	-	 21.9	 	 3.05	 	 108.0	?	    3850	?	     267.0	 	-	 	 253.6 	MA-1/S	 1	O
Atlas D	Atlas               	GDA	-	 22.0	 	 3.05	 	 115.0	 	    3400	 	     253.0	 	-	 	 281.0 	MA-2/S	 1	O
Atlas E	Atlas               	GDA	-	 20.0	 	 3.05	 	 116.0	 	    3500	?	     253.0	 	-	 	 288.0 	MA-3/S	 1	O
Atlas F	Atlas               	GDA	-	 20.0	 	 3.05	 	 116.0	 	    3500	?	     253.0	 	-	 	 312.0 	MA-3/S	 1	O
Atlas SLV-3	Atlas               	GDA	SLV-3	 21.0	 	 3.05	 	 118.0	 	    3000	?	     250.0	 	-	 	 312.0 	MA-5/S	 1	O
Atlas SLV-3A	Atlas               	GDA	-	 24.0	 	 3.05	 	 142.0	 	    3700	 	     386.0	 	-	 	 175.0 	MA-5/S	 1	O
Atlas SLV-3C	Atlas               	GDA	-	 21.9	 	 3.05	 	 128.5	 	    4000	 	     267.0	 	-	 	 260.0 	MA-5/S	 1	O
Atlas SLV-3D	Atlas               	GDA	-	 21.2	 	 3.05	 	 128.5	 	    4000	 	     386.5	 	-	 	 260.0 	MA-5/S	 1	O
Atlas G	Atlas               	GDA	-	 22.2	 	 3.05	 	 142.5	 	    4240	 	     386.5	 	-	 	 266.0 	MA-5/S	 1	O
Atlas H	Atlas               	GDA	-	 21.2	 	 3.05	 	 142.5	 	    4240	 	     380.6	 	-	 	 266.0 	MA-5/S	 1	O
Atlas I	Atlas               	GDA	-	 22.2	 	 3.05	 	 142.5	 	    4240	 	     380.6	 	-	 	 266.0 	MA-5/S	 1	O
Atlas II	Atlas               	GDA	-	 24.9	 	 3.05	 	 163.5	 	   10350	 	     380.6	 	-	 	 274.0 	MA-5/S	 1	O
Atlas III	Atlas               	LMA	-	 29.0	 	 3.05	 	 195.0	 	   13725	 	    4152.0	 	-	 	 190.0 	RD-180	 1	O
Atlas A Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.5	?	    3500	?	    1335.0	 	-	 	 128.0 	MA-1/B-A	 1	Y
Atlas B Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.5	?	    3500	?	    1335.0	 	-	 	 128.0 	MA-1/B	 1	Y
Atlas C Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.5	?	    3500	?	    1335.0	 	-	 	 128.0 	MA-1/B	 1	Y
Atlas D Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.4	?	    3400	?	    1375.0	 	-	 	 135.0 	MA-2/B	 1	Y
Atlas E/F Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    1468.0	 	-	 	 131.0 	MA-3/B	 1	Y
SLV-3 Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    1495.0	 	-	 	 140.0 	MA-5/B	 1	Y
SLV-3D Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    1557.0	 	-	 	 140.0 	MA-5/B	 1	Y
SLV-3C Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    1646.0	 	-	 	 140.0 	MA-5/B	 1	Y
Atlas G Booster	Atlas.Booster       	LMA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    1682.0	 	-	 	 140.0 	MA-5/B	 1	Y
Atlas MA-5 Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    1870.0	 	-	 	 140.0 	MA-5/B	 1	Y
Atlas II Booster	Atlas.Booster       	LMA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    1909.0	 	-	 	 140.0 	MA-5A/B	 1	Y
Atlas Booster	Atlas.Booster       	GDA	-	  4.5	 	 3.05	 	   3.2	 	    3200	 	    2065.0	 	-	 	 165.0 	MA-5A/B	 1	Y
Blue Streak	BlueStreak          	DEHAVS	-	 17.7	 	 3.05	 	  95.0	 	    6800	 	    1512.0	 	-	 	 161.0 	RZ.2	 2	O
Saturn S-V	Centaur             	GDA	S-V	  6.0	 	 3.05	 	  15.6	 	    2000	 	       0.0	 	-	 	   0.0 	RL10	 2	S
Centaur	Centaur             	GDA	Centaur	  9.1	 	 3.05	 	  15.6	 	    2000	 	     134.0	 	-	 	 430.0 	RL10A-1	 2	U
Centaur D	Centaur             	GDA	Centaur	  9.1	 	 3.05	 	  15.6	 	    2000	 	     134.0	 	-	 	 430.0 	RL10A-1	 2	U
Centaur D-1A	Centaur             	GDA	Centaur D1AR	  9.6	 	 3.05	 	  16.3	 	    2630	 	     134.0	 	-	 	 430.0 	RL10A-3	 2	U
Centaur D-1T	Centaur             	GDA	-	  9.6	 	 3.05	 	  16.3	 	    2630	 	     134.0	 	-	 	 470.0 	RL10A-3	 2	U
Centaur I	Centaur             	GDA	Centaur	  9.2	 	 3.05	 	  15.0	 	    1700	 	     147.0	 	-	 	 402.0 	RL10A-3A	 2	U
Centaur II	Centaur             	GDA	Centaur	 10.1	 	 3.05	 	  18.8	 	    2053	 	     147.0	 	-	 	 488.0 	RL10A-3A	 2	U
Centaur IIA	Centaur             	GDA	Centaur	 10.1	 	 3.05	 	  19.0	 	    2200	 	     198.4	 	-	 	 370.0 	RL10A-4-1	 2	U
Centaur IIIA	Centaur             	LMA	Centaur	 10.1	 	 3.05	 	  18.6	 	    1720	 	      99.2	 	-	 	 740.0 	RL10A-4-2	 1	U
Centaur IIIB/SEC	Centaur             	LMA	Centaur	 11.7	 	 3.05	 	  22.9	 	    2130	 	      99.2	 	-	 	 740.0 	RL10A-4-2	 1	U
Centaur IIIB/C-1	Centaur             	LMA	Centaur	 11.7	 	 3.05	 	  22.9	 	    2130	 	     101.8	 	-	 	 740.0 	RL10C-1	 1	U
Centaur IIIB/C-1-1	Centaur             	LMA	Centaur	 11.7	 	 3.05	 	  22.9	 	    2130	 	     101.8	 	-	 	 740.0 	RL10C-1-1	 1	U
Centaur IIIB/DEC	Centaur             	LMA	Centaur	 11.7	 	 3.05	 	  22.9	 	    2130	 	     198.4	 	-	 	 740.0 	RL10A-4-1B	 2	U
Centaur IIIB/DEC2	Centaur             	LMA	Centaur	 11.7	 	 3.05	 	  22.9	 	    2130	 	     198.4	 	-	 	 740.0 	RL10A-4-2	 2	U
Ariane EAP P238	Vega                	EADSL	-	 31.6	 	 3.01	 	 277.6	 	   39800	 	    6719.0	 	-	 	 129.0 	EAP MPS P238	 1	Y
Ariane EAP P240	Vega                	EADSL	-	 31.6	 	 3.01	 	 280.0	 	   40000	 	    6719.0	 	-	 	 130.0 	EAP MPS P240	 1	Y
Vega P80FW	Vega                	AVIO	-	 11.2	 	 3.01	 	  97.1	 	    8790	 	    2100.0	 	-	 	 106.8 	P80FW	 1	S
YGCS	YGCS	CALT	-	 10.0	?	 3.00	?	  50.0	?	-	 	-	 	-	 	-	YF-115	 1	T
New Shepard PM	NewShepard          	BLOR	-	 12.0	?	 3.00	 	  35.0	 	   10000	?	    1020.0	 	-	 	 145.0 	BE-3 (BLOR)	 4	U
Sarmat St1	Sarmat	MAK	-	 22.0	?	 3.00	 	 180.0	?	-	 	-	 	-	 	-	RD-273	 3	M
Sarmat St2	Sarmat	MAK	-	  6.0	?	 3.00	 	  25.0	?	-	 	-	 	-	 	-	Sarmat St2 Eng	 1	M
8S671	R-36                	YUZH	R-36 St1	 18.8	 	 3.00	 	 122.0	 	    6400	?	    2648.0	 	-	 	 120.0 	RD-250	 3	M
8S691	R-36                	YUZH	R-36O St1	 18.8	 	 3.00	 	 122.0	 	    6400	?	    2648.0	 	-	 	 120.0 	RD-250	 3	O
11S691	R-36                	YUZH	-	 18.8	 	 3.00	 	 127.0	 	    8300	 	    3032.0	 	-	 	 120.0 	RD-250	 3	O
15A14A	R-36                	YUZH	R-36M St 1	 22.3	 	 3.00	 	 210.0	?	   15000	?	    4522.0	 	-	 	 130.0 	RD-263	 4	M
15A18A	R-36                	YUZH	R-36M St 1	 22.3	 	 3.00	 	 210.8	 	   15000	?	    4525.0	 	-	 	  98.0 	RD-273	 3	O
8S672	R-36.St2            	OKB586	R-36 St2	  9.4	 	 3.00	 	  49.0	 	    3700	 	     902.0	 	-	 	 160.0 	RD-252	 1	S
8S692	R-36.St2            	OKB586	R-36O St2	  9.4	 	 3.00	 	  49.0	 	    3700	 	     902.0	 	-	 	 160.0 	RD-252	 1	U
11S692	R-36.St2            	OKB586	-	 10.1	 	 3.00	 	  53.3	 	    4800	 	    1010.0	 	-	 	 160.0 	RD-252	 1	U
15A14B	R-36.St2            	YUZH	R-36M St 2	  6.0	?	 3.00	 	  49.0	?	    3000	?	     760.0	?	-	 	 153.0 	RD-0228	 1	S
15A18B	R-36.St2            	YUZH	R-36M St 2	  5.7	 	 3.00	 	  49.3	 	    3000	?	     760.0	 	-	 	 153.0 	RD-0255	 1	S
15A18-BR	BR                  	YUZH	R-36M St 3	  1.0	 	 3.00	 	   8.2	 	     900	?	      18.6	 	-	 	 600.0 	RD 15A18-BR	 1	U
8S641	R-16                	OKB586	R-16A	 16.0	 	 3.00	 	 110.0	 	   10000	 	    2610.0	 	-	 	  90.0 	RD-217	 3	M
CZ-7A Stage 3	CZ3.St3             	CALT	-	 12.4	 	 3.00	 	  21.0	 	    2800	?	     160.0	 	-	 	 615.0 	YF-75	 2	U
CZ-3A Stage 3	CZ3.St3             	CALT	H18-YF75	 12.4	 	 3.00	 	  21.0	 	    2800	?	     157.0	 	-	 	 470.0 	YF-75	 2	U
CZ-8 Stage 2	CZ3.St3             	CALT	H18-YF75	 12.4	 	 3.00	 	  21.0	 	    2800	?	     157.0	 	-	 	 470.0 	YF-75	 2	U
YZ-1	YZ-1                	CALT	YZ-1	  5.0	?	 3.00	 	   0.0	 	       0	 	       0.0	 	-	 	   0.0 	YF-50D	 2	U
YZ-1A	YZ-1                	CALT	YZ-1	  5.0	?	 3.00	 	   0.0	 	       0	 	       0.0	 	-	 	   0.0 	YF-50D	 2	U
YZ-1S	YZ-1                	CALT	YZ-1	  5.0	?	 3.00	 	   0.0	 	       0	 	       0.0	 	-	 	   0.0 	YF-50D	 2	U
YZ-2	YZ-1                	CALT	YZ-2	  5.0	?	 3.00	?	   0.0	 	       0	 	       0.0	 	-	 	   0.0 	YF-50D	 2	U
YZ-3	YZ-1                	SAST	YZ-3	  5.0	?	 3.00	?	   0.0	 	       0	 	       0.0	 	-	 	   0.0 	YF-50D	 2	U
8K71A	Blok-A              	OKB1	-	 28.0	 	 2.95	 	  93.5	 	    7495	 	     941.0	 	-	 	 330.0 	8D75PS	 1	U
8K74A	Blok-A              	OKB1	-	 28.0	 	 2.95	 	 100.0	?	    7000	?	     950.0	?	-	 	 330.0 	8D75	 1	U
11S59A	Blok-A              	OKB1	Blok A	 28.0	 	 2.95	 	 105.4	 	    6875	 	     997.1	 	-	 	 286.0 	RD-108	 1	U
14S53A	Blok-A              	OKB1	Blok A	 28.0	 	 2.95	 	 105.4	 	    6875	 	    1009.4	 	-	 	 286.0 	RD-108A	 1	S
11S59A-S	Blok-A              	OKB1	Blok A	 28.0	 	 2.95	 	 105.4	 	    6875	 	    1009.4	 	-	 	 286.0 	RD-108PF	 1	S
374BL01A-A	Blok-A              	OKB1	Blok A	 28.0	 	 2.95	 	 105.4	 	    6875	 	    1009.4	 	-	 	 286.0 	RD-108A	 1	S
374BL01B-A	Blok-A              	OKB1	Blok A	 28.0	 	 2.95	 	 105.4	 	    6875	 	    1009.4	 	-	 	 286.0 	RD-108A	 1	S
Soyuz-2-1V 132KS	Blok-A              	PROG	-	 26.9	 	 2.95	 	 129.0	 	    9300	 	    1754.0	 	-	 	 292.1 	NK-33A	 1	S
IUS SRM-2	Orbus6              	UTC	Orbus 6E	  2.1	 	 2.90	 	   3.9	 	    1005	 	      76.5	 	-	 	 104.0 	Orbus 6E	 1	U
CZ-2C SM	SMA	CALT	-	  1.5	 	 2.90	 	   0.7	 	     550	 	       0.7	 	-	 	   0.0 	CZ-2 SM	 1	U
CZ-2C SMA	SMA	CALT	-	  1.5	 	 2.90	 	   0.7	 	     550	 	       0.7	 	-	 	   0.0 	CZ-2 SMA	 1	U
CZ-4 Stage 3	L14                 	SAST	L14-YF40	  1.9	 	 2.90	 	  15.2	 	    1000	 	      98.1	 	-	 	 303.0 	YF-40	 1	U
CZ-4B Stage 3	L14                 	SAST	L14-YF40	  1.9	?	 2.90	 	  15.2	?	    1000	 	      98.1	?	-	 	 303.0 	YF-40	 1	U
CZ-4C Stage 3	L14                 	SAST	L14-YF40	  1.9	?	 2.90	 	  15.2	?	    1000	 	      98.1	?	-	 	 303.0 	YF-40A	 1	U
Angara URM	Angara              	KHRU	-	 25.7	 	 2.90	 	 142.4	 	    9800	 	    2086.0	 	-	 	 337.5 	RD-191	 1	O
Angara URM-1	Angara              	KHRU	-	 27.7	 	 2.90	 	 142.4	 	    9800	 	    2086.0	 	-	 	 337.5 	RD-191	 1	O
Angara-1.2 Stage 2	Angara              	KHRU	-	  1.0	 	 2.90	 	  30.0	?	    4000	 	     294.3	 	-	 	 359.0 	RD-0124A	 1	O
Angara AM	Angara.AM            	KHRU	-	  1.0	 	 2.90	 	-	 	-	 	       1.6	 	-	 	-	11D458	 4	O
Naro Stage 1	Angara              	KHRU	-	 25.7	 	 2.90	 	 142.4	 	    9800	 	    1670.0	 	-	 	 337.5 	RD-151	 1	O
GS1-S125	PSLV                	VSSC	-	 20.3	 	 2.80	 	 156.0	 	   27000	 	    4700.0	 	-	 	 100.0 	S125	 1	O
GS1-S139	PSLV                	VSSC	PS-1	 20.0	 	 2.80	 	 177.0	 	   30000	 	    4910.0	 	-	 	 105.0 	S139	 1	O
S139	PSLV                	VSSC	PS-1	 20.0	 	 2.80	 	 177.0	 	   30000	 	    4910.0	 	-	 	 105.0 	S139	 1	O
S125	PSLV                	VSSC	PS-1	 20.0	 	 2.80	 	 168.0	 	   30000	 	    4430.0	 	-	 	 105.0 	S125	 1	O
GS2-HTVE	ISRO-L40	VSSC	-	 11.6	 	 2.80	 	  44.3	 	    4800	 	     846.8	 	-	 	 136.0 	HTVE	 1	S
GS2	ISRO-L40	VSSC	-	 11.6	 	 2.80	 	  42.8	 	    4800	 	     799.0	 	-	 	 136.0 	Vikas	 1	S
PS2	ISRO-L40	VSSC	PS-2	 12.5	 	 2.80	 	  45.8	 	    5300	 	     724.0	 	-	 	 158.0 	Vikas	 1	S
GSOM	ISRO-L40	VSSC	L40	 19.7	 	 2.10	 	  46.0	 	    6000	 	     680.0	 	-	 	 160.0 	Vikas	 1	S
ISRO TV	ISRO-L40	VSSC	L40	 19.7	 	 2.10	 	  46.0	 	    6000	 	     680.0	 	-	 	 160.0 	Vikas	 1	S
CUS12	GS3                 	VSSC	-	  8.7	 	 2.80	 	  15.0	 	    2200	?	      73.6	 	-	 	 720.0 	ICE	 1	U
CUS15	GS3                 	VSSC	-	  8.7	 	 2.80	 	  14.6	 	    2200	?	      73.6	 	-	 	 720.0 	ICE	 1	U
15KRB	GS3                 	VSSC	-	  8.7	 	 2.80	 	  14.6	 	    2200	?	      73.6	 	-	 	 720.0 	KVD-1M	 1	U
12KRB	GS3                 	KHRU	C12	  8.7	 	 2.80	 	  15.0	 	    2500	 	      73.5	 	-	 	 720.0 	KVD-1M	 1	U
Ikar	Ikar                	PROG	-	  2.6	 	 2.72	 	   3.1	 	    2344	 	      29.4	 	-	 	 600.0 	17D61	 1	U
Volga	Ikar                	PROG	-	  1.0	?	 2.70	?	   1.8	 	     900	 	       2.9	 	-	 	 882.0 	Volga	 1	U
8K75A	R-9                 	OKB1	-	 14.6	 	 2.70	 	  61.6	 	    4000	 	    1600.0	 	-	 	 108.0 	RD-111	 1	M
8K75B	8K75B               	OKB1	-	  7.0	 	 2.70	 	  15.9	 	    2500	 	     300.0	 	-	 	 140.0 	RD-0106	 1	S
8K71	R-7                 	OKB1	-	 19.0	 	 2.70	 	  10.8	 	     850	 	     250.0	 	-	 	 120.0 	8D74PS	 1	Y
8K74	R-7                 	OKB1	-	 19.0	 	 2.70	 	  10.8	 	     850	 	     250.0	 	-	 	 120.0 	8D74	 1	Y
11S59	R-7                 	OKB1	Blok BVGD	 19.8	 	 2.68	 	  44.5	 	    3915	 	     992.0	 	-	 	 120.0 	RD-107	 1	Y
14S53	R-7                 	OKB1	Blok BVGD	 19.8	 	 2.68	 	  44.5	 	    3915	 	     992.0	 	-	 	 120.0 	RD-107A	 1	Y
374BL01A	R-7                 	OKB1	Blok BVGD	 19.8	 	 2.68	 	  44.5	 	    3915	 	     992.0	 	-	 	 120.0 	RD-107A	 1	Y
374BL01B	R-7                 	OKB1	Blok BVGD	 19.8	 	 2.68	 	  44.5	 	    3915	 	     992.0	 	-	 	 120.0 	RD-107A	 1	Y
Jupiter	Jupiter             	CHRY/ABMA	-	 14.6	 	 2.67	 	  54.4	 	    5400	 	     660.0	 	-	 	 180.0 	S-3D	 1	O
8K78I	Blok-I              	OKB1	-	  9.4	 	 2.66	 	  25.5	?	    2350	?	     298.0	 	-	 	 240.0 	RD-0107	 1	U
11A57I	Blok-I              	OKB1	Blok I	  6.7	 	 2.66	 	  23.7	 	    2350	 	     298.0	 	-	 	 240.0 	RD-0110	 1	U
14S54/RD-0110	Blok-I              	OKB1	-	  6.7	 	 2.66	 	  25.2	?	    2410	?	     298.0	 	-	 	 240.0 	RD-0110	 1	U
14S54	Blok-I              	OKB1	-	  6.7	 	 2.66	 	  26.0	 	    2800	 	     294.0	 	-	 	 359.0 	RD-0124	 1	U
14S54 (N)	Blok-I              	OKB1	-	  6.7	 	 2.66	 	  26.0	 	    2800	 	     294.0	 	-	 	 359.0 	RD-0124N	 1	U
374BL02A	Blok-I              	OKB1	-	  6.7	 	 2.66	 	  25.2	?	    2410	?	     298.0	 	-	 	 240.0 	RD-0110	 1	U
374BL02B	Blok-I              	OKB1	-	  6.7	 	 2.66	 	  26.0	 	    2800	 	     294.0	 	-	 	 359.0 	RD-0124	 1	U
11S510	Blok-I              	OKB1	-	  6.7	 	 2.66	 	  25.2	 	    2410	 	     298.0	 	-	 	 240.0 	RD-0110	 1	U
11S510 (F)	Blok-I              	OKB1	-	  7.6	 	 2.66	 	  25.2	 	    2410	 	     298.0	 	-	 	 240.0 	RD-0110	 1	S
ZK-1A Stage 1	ZK-1	ARMT	-	 16.0	?	 2.65	 	  35.0	?	-	 	    2067.0	 	-	 	-	ZK-1A-1	 1	O
ZK-1A Stage 2	ZK-1	ARMT	-	 12.0	?	 2.65	 	  35.0	?	-	 	    1081.0	 	-	 	-	ZK-1A-2	 1	O
YL-1 Stage 0	ZK-1	ARMT	-	 12.0	?	 2.65	 	  50.0	?	-	 	    1500.0	?	-	 	-	YL-1-0	 1	O
YL-1 Stage 1	ZK-1	ARMT	-	 12.0	?	 2.65	 	  50.0	?	-	 	    2550.0	?	-	 	-	YL-1-1	 1	O
YL-1 Stage 2	ZK-1	ARMT	-	 10.0	?	 2.65	 	  50.0	?	-	 	    1000.0	?	-	 	-	YL-1-2	 1	O
Abid St1	Abid                	IQ	-	  8.0	?	 2.64	?	  25.0	?	    3000	?	    1500.0	?	-	 	  90.0 	Abid	 5	M
Hwasong-17 Stage 1	Hwasong-15          	KPA	-	 18.0	?	 2.60	?	  80.0	?	-	 	-	 	-	 	3200.0 	HS-17	 4	M
Hwasong-17 Stage 2	Hwasong-15          	KPA	-	  5.0	?	 2.60	?	   3.0	?	-	 	-	 	-	 	 800.0 	HS-17	 1	M
Ariane L33	Ariane.St2          	DASA/ERNO	L33	 11.6	 	 2.60	 	  38.9	 	    3500	 	     785.0	 	-	 	 126.0 	Viking IVB	 1	S
Ariane H8	Ariane.St3          	AELM	H8	 10.2	 	 2.60	 	   9.7	 	    1450	 	      61.6	 	-	 	 563.0 	HM-7	 1	U
